title,duration,duration_numeric
Red Joan,101 min,101.0
Seven Pounds,123 min,123.0
She's Out of My League,106 min,106.0
Snow Day,89 min,89.0
Star Trek,128 min,128.0
Stuart Little,85 min,85.0
Sword of Trust,89 min,89.0
Talladega Nights: The Ballad of Ricky Bobby,108 min,108.0
The American,105 min,105.0
The Best of Enemies,133 min,133.0
The Game,129 min,129.0
The Karate Kid,127 min,127.0
The Karate Kid Part II,113 min,113.0
The Karate Kid Part III,112 min,112.0
The Life of David Gale,130 min,130.0
The Long Riders,100 min,100.0
The Queen,103 min,103.0
The Strangers,85 min,85.0
The Sum of All Fears,124 min,124.0
The Tourist,103 min,103.0
Underworld,121 min,121.0
Underworld: Awakening,89 min,89.0
Underworld: Rise of the Lycans,92 min,92.0
Voiceless,112 min,112.0
What Dreams May Come,114 min,114.0
Why Do Fools Fall in Love,116 min,116.0
Working Title,110 min,110.0
America: The Motion Picture,98 min,98.0
Deranged,98 min,98.0
Lying and Stealing,100 min,100.0
Mommy Issues,90 min,90.0
Prime Time,92 min,92.0
A Way Back Home,82 min,82.0
Killing Them Softly,97 min,97.0
Wanted,90 min,90.0
Into the Wind,76 min,76.0
Wonder Boy,83 min,83.0
Here Comes the Rain,101 min,101.0
The Ice Road,109 min,109.0
Sisters on Track,97 min,97.0
The Seventh Day,87 min,87.0
Good on Paper,94 min,94.0
Murder by the Coast,89 min,89.0
The House of Flowers: The Movie,88 min,88.0
Broken,108 min,108.0
O Vendedor de Sonhos,96 min,96.0
Osuofia in London,84 min,84.0
Osuofia in London II,70 min,70.0
#Selfie,125 min,125.0
#Selfie 69,119 min,119.0
Love Is a Story,105 min,105.0
Mobile Suit Gundam II: Soldiers of Sorrow,133 min,133.0
Mobile Suit Gundam III: Encounters in Space,140 min,140.0
Mobile Suit Gundam: Char's Counterattack,120 min,120.0
A Family,135 min,135.0
Fatherhood,111 min,111.0
Jagame Thandhiram,159 min,159.0
Kambili: The Whole 30 Yards,119 min,119.0
Mobile Suit Gundam I,139 min,139.0
Rurouni Kenshin: The Final,137 min,137.0
Ali & Ratu Ratu Queens,101 min,101.0
Aziza,13 min,13.0
Besieged Bread,12 min,12.0
Fan Girl,101 min,101.0
Red Snow,96 min,96.0
Silver Linings Playbook,122 min,122.0
A Man For The Week End,95 min,95.0
Biking Borders,89 min,89.0
Lowriders,98 min,98.0
Security,119 min,119.0
Silver Skates,138 min,138.0
FTA,104 min,104.0
Headspace: Unwind Your Mind,273 min,273.0
Life of Crime,101 min,101.0
Rogue Warfare: Death of a Nation,99 min,99.0
Sir! No Sir!,84 min,84.0
The Reason I Jump,82 min,82.0
Picture a Scientist,97 min,97.0
The Devil Below,89 min,89.0
Bling Empire - The Afterparty,36 min,36.0
Cobra Kai - The Afterparty,34 min,34.0
